StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3_1,Q1.4,Q1.5,Q1.6_1,Q1.7,Q1.7_8_TEXT,Q1.9,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Q8.1,Q9.1,Q10.1,Q11.1,Q12.1,Q13.1,Q14.1,Q15.1,Q16.1,Q17.1,Q18.1,Q19.1,Q20.1,Q21.1,Q22.1,Q23.1,Q24.1,Q25.1,Q26.1,Q27.1,Q28.1,Q29.1,Q30.1,Q31.1,Q32.1,Q33.1,Q34.1,Q35.1,Q36.1,Q37.1,Q38.1,Q39.1,Q40.1,Q41.1,Q42.1,Q43.1,Q44.1,Q45.1,Q46.1,Q47.1,Q48.1,Q49.1,Q50.1,Q51.1,Q52.1,Q53.1,Q54.1,Q55.1,Q56.1,Q57.1,Q58.1,Q59.1,Q60.1,Q61.1,Q62.1,Q63.1,Q64.1,Q65.1,Q66.1,Q67.1,Q68.1,Q69.1,Q70.1,Q71.1,Q72.1,Q73.1,Q74.1,Q75.1,Q76.1,Q77.1,Q78.1,Q79.1,Q80.1,Q81.1,Q82.1,Q83.1,Q84.1,Q85.1,Q86.1,Q87.1,Q88.1,Q89.1,Q90.1,Q91.1,Q92.1,Q93.1,Q94.1,Q95.1,Q96.1,Q97.1,Q98.1,Q99.1,Q100.1,Q101.1,Q102.1,Q103.1,Q104.1,Q105.1,Q106.1,Q107.1,Q108.1,Q109.1,Q110.1,Q111.1,Q112.1,Q113.1,Q114.1,Q115.1,Q116.1,Q117.1,Q118.1,Q119.1,Q120.1,Q121.1,Q122.1,Q123.1,Q124.1,Q125.1,Q126.1,Q127.1,Q128.1,Q129.1,Q130.1,Q131.1,Q132.1,Q133.1,Q134.1,Q135.1,Q136.1,Q137.1,Q138.1,Q139.1,Q140.1,Q141.1,Q142.1,Q143.1,Q144.1,Q145.1,Q146.1,Q147.1,Q148.1,Q149.1,Q150.1,Q151.1,Q152.1,Q153.1,Q154.1,Q155.1,Q156.1,Q157.1,Q158.1,Q159.1,Q160.1,Q161.1,Q162.1,Q163.1,Q164.1,Q165.1,Q166.1,Q167.1,Q168.1,Q169.1,Q170.1,Q171.1,Q172.1,Q173.1,Q174.1,Q175.1,Q176.1,Q177.1,Q178.1,Q179.1,Q180.1,Q181.1,Q182.1,Q183.1,Q184.1,Q185.1,Q186.1,Q187.1,Q188.1,Q189.1,Q190.1,Q191.1,Q192.1,Q193.1,Q194.1,Q195.1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thanks for taking this survey.


UNIVERSITY OF WISCONSIN-MADISON

Research Participant Information and Consent Form 

Title of the Study: Learning meanings of words and objects

Condition: Single session, any language, class credit compensation

Principal Investigator: Tim Rogers (phone: (608) 262 - 0808)

DESCRIPTION OF THE RESEARCH

You are invited to participate in a research study about the process by which people learn to recognize and understand the meanings of words and pictures.

You have been asked to participate because you are between the ages of 18 and 30.  Your participation is voluntary.

For in person studies, research will be conducted in an experiment room in the Brogden Psychology building located on the UW-Madison campus at 1202 W. Johnson St. For online studies, you may complete the study on any computer.

WHAT WILL MY PARTICIPATION INVOLVE?

Participants will be asked to complete one session of less than one hour, during which time you will be asked to sit in front of a computer screen.  You will hear or read individual words or view pictures on the computer screen.  You will be asked either to press keys on the keyboard in response to the words or pictures, or to speak a response aloud.  In some cases your eye movements will be monitored with an eye-tracking machine while you respond.

If you are assigned to an in-person experiment condition in which you speak aloud, we will record your speech.  The audiotapes or digital recordings will be played by researchers for the purpose of data analysis.  The recordings will only be used for that purpose.  When the results of the research are published or discussed in conferences, no information will be included that would reveal your identity.  The tapes/recordings will be retained for a period of 10 years, after which they will be destroyed.

If you are assigned to an in-person experiment condition in which your eye movements are monitored, you will be asked to wear some light plastic headgear.  The equipment will shine a faint red light on your eye, and the computer will use the reflection of this light to determine where in space you are looking while the experiment is running.  This information will be recorded digitally and will be inspected by researchers solely for data analysis and for no other purpose.  When the results of the research are published or discussed in conferences, no information will be included that would reveal your identity.  The tapes/recordings will be retained for a period of 10 years, after which they will be destroyed.

During the experiment, you may be asked to complete one or more questionnaires.

HOW WILL I BE COMPENSATED FOR PARTICIPATING?

You will be compensated with extra credit in your introductory Psychology class at the normal rate of 1 credit for every half hour of participation.

ARE THERE ANY RISKS TO ME?

Participants may risk accidental breach of confidentiality. There are no other anticipated risks to subjects participating in this experiment.

ARE THERE ANY BENEFITS TO ME?

There are no direct benefits to you for participation in this study.

HOW WILL MY CONFIDENTIALITY BE PROTECTED?

All recordings, digitized files and written surveys will be identified only with a subject number and not with your name.  The files will be kept in a locked cabinet or secure computer with password protection and will be heard/viewed only by the researchers. The only link between your data and your identity will be this consent form, which will be kept in a locked cabinet in a locked room accessible only by the researchers.

While there will probably be publications as a result of this study, your name will not be used. Only group characteristics will be published.

WHOM SHOULD I CONTACT IF I HAVE QUESTIONS?

You may ask any questions about the research at any time. If you have questions about the research after you leave today you should contact the Principal Investigator Tim Rogers at (608) 262 - 0808.

If you have questions about your rights as a research subject you should contact the Social & Behavioral Science IRB at (608) 263-2320.

Your participation is completely voluntary. If you decide not to participate or to withdraw from the study it will have no effect on your grade in this class.

Your signature indicates that you have read this consent form, had an opportunity to ask any questions about your participation in this research and voluntarily consent to participate. You will receive a copy of this form for your records.",Please select the gender identity that you identify as:,Please move the slider to select your age : - Age in years,Please select the ethnicity that you identify as:,Please select your highest level of education you have completed:,Please move the slider to select your approximated annual household income: - In US Dollars,Please select all the languages that you speak fluently: - Selected Choice,Please select all the languages that you speak fluently: - Other - Text,In this survey I have to:,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,Q7.1,Q8.1,Q9.1,Q10.1,Q11.1,Q12.1,Q13.1,Q14.1,Q15.1,Q16.1,Q17.1,Q18.1,Q19.1,Q20.1,Q21.1,Q22.1,Q23.1,Q24.1,Q25.1,Q26.1,Q27.1,Q28.1,Q29.1,Q30.1,Q31.1,Q32.1,Q33.1,Q34.1,Q35.1,Q36.1,Q37.1,Q38.1,Q39.1,Q40.1,Q41.1,Q42.1,Q43.1,Q44.1,Q45.1,Q46.1,Q47.1,Q48.1,Q49.1,Q50.1,Q51.1,Q52.1,Q53.1,Q54.1,Q55.1,Q56.1,Q57.1,Q58.1,Q59.1,Q60.1,Q61.1,Q62.1,Q63.1,Q64.1,Q65.1,Q66.1,Q67.1,Q68.1,Q69.1,Q70.1,Q71.1,Q72.1,Q73.1,Q74.1,Q75.1,Q76.1,Q77.1,Q78.1,Q79.1,Q80.1,Q81.1,Q82.1,Q83.1,Q84.1,Q85.1,Q86.1,Q87.1,Q88.1,Q89.1,Q90.1,Q91.1,Q92.1,Q93.1,Q94.1,Q95.1,Q96.1,Q97.1,Q98.1,Q99.1,Q100.1,Q101.1,Q102.1,Q103.1,Q104.1,Q105.1,Q106.1,Q107.1,Q108.1,Q109.1,Q110.1,Q111.1,Q112.1,Q113.1,Q114.1,Q115.1,Q116.1,Q117.1,Q118.1,Q119.1,Q120.1,Q121.1,Q122.1,Q123.1,Q124.1,Q125.1,Q126.1,Q127.1,Q128.1,Q129.1,Q130.1,Q131.1,Q132.1,Q133.1,Q134.1,Q135.1,Q136.1,Q137.1,Q138.1,Q139.1,Q140.1,Q141.1,Q142.1,Q143.1,Q144.1,Q145.1,Q146.1,Q147.1,Q148.1,Q149.1,Q150.1,Q151.1,Q152.1,Q153.1,Q154.1,Q155.1,Q156.1,Q157.1,Q158.1,Q159.1,Q160.1,Q161.1,Q162.1,Q163.1,Q164.1,Q165.1,Q166.1,Q167.1,Q168.1,Q169.1,Q170.1,Q171.1,Q172.1,Q173.1,Q174.1,Q175.1,Q176.1,Q177.1,Q178.1,Q179.1,Q180.1,Q181.1,Q182.1,Q183.1,Q184.1,Q185.1,Q186.1,Q187.1,Q188.1,Q189.1,Q190.1,Q191.1,Q192.1,Q193.1,Q194.1,Q195.1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211_1""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214_1""}","{""ImportId"":""QID215""}","{""ImportId"":""QID215_8_TEXT""}","{""ImportId"":""QID217""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID77""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID114""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID192""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID177""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID207""}","{""ImportId"":""QID208""}"
2021-04-19 11:40:05,2021-04-19 11:40:32,Survey Preview,,100,26,True,2021-04-19 11:40:32,R_2P7Dgafj68jVCc9,,,,,43.0370941162109375,-89.3932037353515625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03 14:50:49,2021-05-03 14:51:15,Survey Preview,,100,26,True,2021-05-03 14:51:16,R_3fMCCJuMPIMyFvz,,,,,43.0370941162109375,-89.3932037353515625,preview,EN,,,,,,,,,,Anger,Disgust,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13 13:40:40,2021-05-14 07:57:04,IP Address,75.135.76.129,54,65784,False,2021-05-21 07:57:07,R_6Jt9fhuJ0PDUyJP,,,,,,,anonymous,EN,I consent,Male,50,White or Caucasian,Doctorate,,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Other,Anger,Anger,Sadness,Anger,Anger,Anger,Other,Other,Other,Anger,Surprise,Disgust,Other,Disgust,Disgust,Sadness,Fear,Fear,Surprise,Other,Fear,Fear,Other,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Other,Neutral,Neutral,Other,Neutral,Anger,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Other,Other,Surprise,Happiness,Surprise,Surprise,Other,Neutral,Disgust,Neutral,Uncertain,Uncertain,Other,Other,Uncertain,Uncertain,Sadness,Anger,,,Anger,Anger,,Anger,,Other,,Anger,,,,Uncertain,,Fear,Fear,Fear,Neutral,,Other,,,Happiness,,Happiness,,Other,,Happiness,Happiness,Neutral,Neutral,,Neutral,Neutral,Neutral,,Neutral,,Sadness,,,Sadness,Sadness,Uncertain,,Surprise,,,,Surprise,Neutral,Surprise,Other,,,,Other,Uncertain,Uncertain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26 09:00:32,2021-09-26 09:22:10,IP Address,104.187.157.212,100,1297,True,2021-09-26 09:22:11,R_3rP7UVSvlV8oxRe,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,25,White or Caucasian,4 year degree,87042,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Neutral,Anger,Anger,Anger,Anger,Anger,Anger,Happiness,Disgust,Disgust,Disgust,Surprise,Disgust,Disgust,Disgust,Anger,Fear,Fear,Fear,Happiness,Surprise,Fear,Disgust,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Disgust,Sadness,Anger,Neutral,Uncertain,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Happiness,Surprise,Surprise,Happiness,Surprise,Surprise,Surprise,Neutral,Happiness,Neutral,Other,Other,Anger,Anger,Other,Other,Sadness,Anger,Neutral,Neutral,Anger,Anger,Anger,Anger,Other,Other,Other,Disgust,Disgust,Uncertain,Other,Disgust,Disgust,Fear,Sadness,Surprise,Other,Surprise,Surprise,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Other,Neutral,Neutral,Sadness,Anger,Sadness,Sadness,Anger,Sadness,Neutral,Sadness,Happiness,Neutral,Surprise,Surprise,Surprise,Neutral,Surprise,Surprise,Other,Other,Happiness,Neutral,Surprise,Neutral,Other,Happiness,Sadness,Anger,Disgust,Anger,Neutral,Anger,Anger,Neutral,Uncertain,Disgust,Anger,Other,Neutral,Uncertain,Disgust,Disgust,Disgust,Disgust,Surprise,Disgust,Sadness,Surprise,Surprise,Surprise,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Happiness,Neutral,Neutral,Neutral,Disgust,Sadness,Sadness,Sadness,Sadness,Other,Neutral,Sadness,Surprise,Happiness,Fear,Surprise,Surprise,Happiness,Surprise,Neutral,Happiness,Happiness,Other,Other,Uncertain,Uncertain,Other,Neutral
2021-09-26 09:25:26,2021-09-26 09:43:43,IP Address,184.58.128.235,100,1097,True,2021-09-26 09:43:44,R_29h9opu5kr6YVP2,,,,,42.8824005126953125,-88.3430023193359375,anonymous,EN,I consent,Female,18,White or Caucasian,Some college,35070,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Anger,Anger,Anger,Sadness,Anger,Anger,Fear,Anger,Other,Disgust,Disgust,Anger,Disgust,Happiness,Disgust,Anger,Fear,Surprise,Disgust,Fear,Fear,Fear,Fear,Surprise,Neutral,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Anger,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Fear,Surprise,Surprise,Happiness,Other,Surprise,Surprise,Surprise,Other,Neutral,Other,Neutral,Anger,Sadness,Other,Uncertain,Sadness,Anger,Sadness,Anger,Anger,Anger,Other,Anger,Anger,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Disgust,Sadness,Sadness,Fear,Other,Fear,Surprise,Fear,Sadness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Uncertain,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Surprise,Other,Fear,Fear,Surprise,Neutral,Surprise,Anger,Neutral,Happiness,Happiness,Anger,Surprise,Uncertain,Neutral,Happiness,Sadness,Anger,Anger,Anger,Anger,Anger,Anger,Anger,Anger,Anger,Uncertain,Anger,Disgust,Uncertain,Disgust,Surprise,Disgust,Fear,Uncertain,Other,Sadness,Fear,Surprise,Fear,Surprise,Happiness,Neutral,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Uncertain,Neutral,Uncertain,Neutral,Happiness,Neutral,Neutral,Neutral,Disgust,Sadness,Sadness,Sadness,Sadness,Anger,Other,Sadness,Happiness,Happiness,Uncertain,Surprise,Surprise,Fear,Surprise,Surprise,Happiness,Happiness,Disgust,Uncertain,Other,Anger,Uncertain,Uncertain
2021-09-26 12:26:39,2021-09-26 12:47:38,IP Address,50.93.222.103,100,1258,True,2021-09-26 12:47:38,R_1LZkngQbA8qDtS5,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,20,White or Caucasian,Some college,65282,English,,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Neutral,Anger,Anger,Anger,Anger,Sadness,Disgust,Anger,Other,Disgust,Disgust,Anger,Disgust,Disgust,Disgust,Disgust,Anger,Fear,Fear,Fear,Surprise,Disgust,Neutral,Surprise,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Sadness,Sadness,Sadness,Sadness,Sadness,Neutral,Sadness,Happiness,Surprise,Surprise,Happiness,Neutral,Surprise,Surprise,Surprise,Happiness,Neutral,Other,Happiness,Disgust,Sadness,Other,Other,Sadness,Disgust,Disgust,Disgust,Anger,Anger,Disgust,Anger,Anger,Disgust,Disgust,Anger,Anger,Disgust,Disgust,Disgust,Anger,Fear,Sadness,Fear,Neutral,Surprise,Surprise,Sadness,Sadness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Sadness,Anger,Sadness,Anger,Sadness,Sadness,Sadness,Sadness,Surprise,Neutral,Fear,Fear,Surprise,Other,Fear,Surprise,Neutral,Neutral,Happiness,Other,Surprise,Happiness,Other,Happiness,Sadness,Anger,Anger,Anger,Anger,Anger,Anger,Neutral,Anger,Anger,Happiness,Anger,Disgust,Disgust,Disgust,Fear,Disgust,Fear,Surprise,Sadness,Sadness,Fear,Surprise,Fear,Fear,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Neutral,Neutral,Neutral,Disgust,Neutral,Disgust,Sadness,Sadness,Sadness,Sadness,Neutral,Disgust,Anger,Surprise,Happiness,Surprise,Surprise,Surprise,Surprise,Surprise,Surprise,Happiness,Happiness,Disgust,Other,Surprise,Anger,Other,Happiness
2021-09-26 11:55:28,2021-09-26 13:52:03,IP Address,198.54.105.171,100,6995,True,2021-09-26 13:52:04,R_1Qm81otlUz7gCVw,,,,,41.8972015380859375,-87.619598388671875,anonymous,EN,I consent,Female,19,White or Caucasian,Some college,150000,"English,Spanish,French,Other",farsi,"Rate what I believe the person in the picture is experiencing,Select ""other"" if the word I have in mind does not appear among the response options,Select ""uncertain"" if I do not know what the person in the picture is experiencing",Neutral,Fear,Anger,Anger,Neutral,Sadness,Neutral,Uncertain,Other,Anger,Disgust,Uncertain,Neutral,Surprise,Disgust,Fear,Happiness,Fear,Surprise,Surprise,Surprise,Sadness,Uncertain,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Happiness,Neutral,Happiness,Neutral,Fear,Neutral,Neutral,Disgust,Neutral,Sadness,Fear,Sadness,Sadness,Fear,Sadness,Uncertain,Fear,Neutral,Other,Surprise,Happiness,Neutral,Surprise,Uncertain,Uncertain,Happiness,Neutral,Uncertain,Neutral,Fear,Sadness,Surprise,Sadness,Fear,Uncertain,Neutral,Neutral,Disgust,Disgust,Disgust,Fear,Disgust,Disgust,Other,Disgust,Uncertain,Uncertain,Uncertain,Disgust,Sadness,Fear,Sadness,Surprise,Surprise,Sadness,Uncertain,Fear,Fear,Happiness,Happiness,Happiness,Neutral,Neutral,Neutral,Neutral,Sadness,Neutral,Neutral,Uncertain,Neutral,Neutral,Neutral,Other,Uncertain,Uncertain,Sadness,Sadness,Fear,Sadness,Sadness,Sadness,Uncertain,Happiness,Uncertain,Neutral,Surprise,Surprise,Surprise,Fear,Surprise,Neutral,Surprise,Uncertain,Uncertain,Surprise,Surprise,Other,Happiness,Sadness,Fear,Surprise,Anger,Anger,Uncertain,Fear,Neutral,Anger,Neutral,Neutral,Anger,Fear,Surprise,Uncertain,Surprise,Fear,Surprise,Uncertain,Neutral,Sadness,Uncertain,Neutral,Surprise,Fear,Happiness,Neutral,Neutral,Happiness,Uncertain,Surprise,Happiness,Happiness,Neutral,Neutral,Sadness,Neutral,Neutral,Uncertain,Other,Neutral,Disgust,Fear,Sadness,Neutral,Anger,Sadness,Uncertain,Sadness,Surprise,Happiness,Neutral,Surprise,Surprise,Surprise,Surprise,Neutral,Happiness,Happiness,Surprise,Surprise,Surprise,Surprise,Uncertain,Neutral
